Number of Trees,F1 Score
10,0.9567307692307692
20,0.964200477326969
30,0.9665071770334929
40,0.9619047619047619
50,0.9619047619047619
60,0.9619047619047619
70,0.9619047619047619
80,0.9619047619047619
90,0.9643705463182898
100,0.9643705463182898
110,0.9666666666666666
120,0.9666666666666666
130,0.9666666666666666
140,0.9643705463182898
150,0.9666666666666666
160,0.9666666666666666
170,0.9643705463182898
180,0.9668246445497631
190,0.9668246445497631
200,0.9668246445497631
210,0.9668246445497631
220,0.9668246445497631
230,0.9691211401425178
240,0.9715639810426541
250,0.9692671394799054
260,0.9692671394799054
270,0.9692671394799054
280,0.9692671394799054
290,0.9692671394799054
300,0.9715639810426541
